Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
136.00,1/03/1974,RR680,1885489,5774510,100.00,
136.00,6/10/1977,RR773,1884575,5772299,100.00,
134.70,1/09/1987,BN20-0077,1884708,5772457,100.00,
134.20,,RR738,1884640,5772541,100.00,
134.10,3/07/1962,RR280,1885671,5771361,75.00,
134.10,28/03/1962,RR452,1884610,5774620,100.00,
134.00,20/10/1982,RR881,1884951,5772879,100.00,
134.00,25/11/1983,RR883,1884800,5773370,100.00,
133.50,17/12/1990,BN20-0062,1885490,5774485,,
133.50,1/09/1978,RR732A,1886383,5771482,100.00,
133.50,1/11/1983,RR876,1884496,5772439,100.00,
133.20,1/02/1965,RR528,1885480,5773193,100.00,
133.20,24/10/1974,RR696,1884385,5772131,100.00,
133,1/01/1993,68_792,1868511,5719214,150,
133.00,16/03/2012,RR11557,1883878,5771845,100.00,
132.97,,RR847,1884417,5772012,100.00,
132.90,21/10/1958,RR359,1885399,5773811,100.00,
132.90,7/07/1965,RR547A,1884260,5772025,100.00,
132.00,22/12/2016,RR12187,1885030,5773208,,
132.00,1/12/1964,RR532,1884667,5774611,100.00,
132.00,1/05/1982,RR858,1885489,5774470,100.00,
132.00,,BN24-0078,1899215,5784018,,
131.75,10/06/1981,RR846,1884467,5773929,100.00,
131.14,17/03/1982,RR856,1883820,5771849,100.00,
131.00,10/04/2021,BN21-0017,1883990,5772074,100.00,
131.00,19/07/2002,BN-4550,1883898,5771932,100.00,
131.00,,RR343,1884470,5773962,75.00,
130.20,,RR775,1884707,5772457,100.00,
130.20,29/05/1978,RR785,1884080,5772143,100.00,
130.20,7/12/1981,RR855,1884619,5773051,100.00,
130.04,10/08/2023,72_11923,1869537,5711635,100,
130.00,,RR1035,1884679,5773392,50.00,
130.00,1/10/2013,RR12155,1884974,5774344,100.00,
130.00,12/02/1973,RR653,1884030,5772050,100.00,
129.93,21/06/1976,RR741,1884749,5773392,100.00,
129.80,14/11/1962,RR444,1884248,5772286,75.00,
129.60,1/08/1967,RR587,1885259,5772111,100.00,
129.50,,RR682,1884665,5772571,100.00,
